uid,100m,300m,500m,700m,900m
5993,0.770467855,0.556998059,0.430599018,0.369798957,0.370869236
5995,0.768944353,0.504469264,0.369490217,0.32638382,0.34453226
6000,0.802238864,0.567720865,0.419782534,0.334378188,0.306679455
6001,0.76681701,0.451573259,0.278808164,0.236006825,0.292835461
6002,0.587298918,0.22125342,0.140784378,0.159007846,0.204440983
6003,0.807927976,0.583161902,0.440720741,0.339257416,0.311310683
6004,0.478676743,0.147366384,0.152217969,0.182263984,0.238362878
6005,0.73735708,0.429948614,0.294401051,0.280188243,0.364329407
6007,0.819854425,0.59237399,0.431105536,0.306411921,0.187599389
6010,0.745745782,0.49976063,0.36852613,0.324725433,0.353574565
6015,0.820697054,0.580076146,0.397957381,0.230912483,0.119763418
6016,0.776142856,0.574715393,0.426392655,0.317086584,0.33209658
6017,0.73754092,0.508239487,0.398220019,0.329728486,0.354739012
6020,0.780953611,0.484902131,0.349450121,0.294199723,0.307537033
6023,0.792983552,0.579922096,0.45466858,0.382171768,0.399264289
6024,0.809525449,0.587483781,0.481714861,0.392936279,0.364669632
6025,0.821644977,0.567835335,0.46627167,0.377574126,0.359432925
6026,0.779147047,0.57895469,0.478123893,0.399869419,0.391495792
6028,0.778594947,0.584663915,0.495763039,0.407565347,0.414834468
6029,0.726594733,0.569599024,0.469726005,0.399337323,0.388094802
6030,0.738265714,0.4303007,0.261511172,0.20401214,0.335954083
6031,0.729727662,0.332508784,0.185843413,0.18587786,0.270543036
6032,0.734633099,0.544926756,0.396913984,0.317168352,0.371588979
6033,0.693724661,0.308981441,0.198809618,0.17502449,0.193237359
6034,0.66894624,0.404297332,0.289818116,0.22058246,0.272603647
6035,0.768594426,0.568053027,0.481648472,0.397623598,0.405611245
6036,0.74784676,0.522320881,0.37926464,0.286954995,0.319330893
6037,0.810988222,0.563176161,0.423097271,0.30216084,0.249445589
6039,0.827652839,0.601343273,0.440884368,0.302053323,0.175529018
6040,0.695765203,0.47820767,0.373342994,0.310279448,0.328806575
6041,0.729917444,0.439646931,0.344929105,0.298150756,0.354248358
6042,0.724554966,0.46831641,0.332373034,0.25020271,0.325721343
6043,0.665648423,0.351450652,0.201880409,0.162869727,0.248503922
6045,0.809589799,0.572778806,0.474322094,0.409291157,0.387935456
6047,0.782588625,0.501699315,0.338751496,0.269223008,0.300994548
6051,0.83052169,0.595311104,0.434380557,0.29943911,0.158385214
6053,0.825095237,0.604738949,0.449710902,0.317728656,0.188733385
6054,0.777783987,0.524703751,0.370349244,0.244685848,0.223264926
6056,0.771149146,0.56949004,0.475061229,0.395218812,0.407661364
